value
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
7
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
6
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
7
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
5
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
7
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
6
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
7
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
4
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
7
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
6
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
7
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
5
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
7
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
8
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
14
13
14
11
13
14
12
14
13
14
6
13
14
12
13
14
11
13
14
12
14
13
14
10
13
14
12
13
14
11
13
14
12
14
13
14
9
13
